@relation WindPrediction

@attribute 'DATE' numeric
@attribute 'WIND' numeric
@attribute 'IND' numeric
@attribute 'RAIN' numeric
@attribute 'IND.1' numeric
@attribute 'T.MAX' numeric
@attribute 'IND.2' numeric
@attribute 'T.MIN' numeric
@attribute 'T.MIN.G' {low,medium,high}

@data
0.0,13.67,0.0,0.2,0.0,0.0,0.0,0.0,low
1.0,11.5,0.0,5.1,0.0,1.0,0.0,1.0,low
2.0,11.25,0.0,0.4,0.0,2.0,0.0,2.0,low
3.0,8.63,0.0,0.2,0.0,3.0,0.0,3.0,low
4.0,11.92,0.0,10.4,0.0,1.0,1.0,4.0,low
5.0,10.67,0.0,0.0,0.0,4.0,0.0,5.0,medium
6.0,9.17,0.0,1.9,0.0,5.0,1.0,6.0,medium
7.0,14.29,0.0,0.0,0.0,6.0,0.0,7.0,medium
8.0,8.04,0.0,8.3,0.0,7.0,0.0,8.0,medium
9.0,11.42,0.0,0.0,0.0,4.0,0.0,9.0,medium
10.0,7.54,0.0,0.5,0.0,8.0,1.0,10.0,high
11.0,15.54,0.0,6.0,0.0,9.0,1.0,11.0,high
12.0,4.63,0.0,0.0,0.0,10.0,0.0,12.0,high
13.0,3.08,0.0,0.0,0.0,3.0,1.0,13.0,high
14.0,2.5,0.0,0.0,0.0,11.0,1.0,14.0,high
15.0,9.25,0.0,0.0,0.0,12.0,1.0,15.0,high
16.0,13.42,0.0,2.0,0.0,13.0,0.0,16.0,high
17.0,17.83,0.0,8.4,0.0,14.0,0.0,17.0,high
18.0,3.71,0.0,0.9,0.0,6.0,0.0,18.0,medium
19.0,3.17,0.0,21.5,0.0,13.0,1.0,19.0,high
20.0,8.04,0.0,0.2,0.0,14.0,0.0,18.0,high
21.0,9.38,0.0,0.3,0.0,4.0,0.0,12.0,high
22.0,13.7,0.0,0.0,0.0,4.0,0.0,12.0,high
23.0,20.38,0.0,9.5,0.0,15.0,0.0,20.0,medium
24.0,9.25,0.0,0.0,0.0,16.0,0.0,21.0,low
